GeneID,Symbol,Experimental_Essentiality,FBA_Essentiality
An01g00100,G_An01g00100,1,0
An01g00200,G_An01g00200,1,0
An01g00780,G_An01g00780,1,0
An01g00850,G_An01g00850,0,0
An01g01320,G_An01g01320,1,0
An01g01520,G_An01g01520,0,1
An01g01530,G_An01g01530,0,0
An01g01540,G_An01g01540,1,0
An01g01550,G_An01g01550,0,0
An01g01560,G_An01g01560,0,0
An01g01590,G_An01g01590,0,1
An01g01620,G_An01g01620,1,0
An01g01820,G_An01g01820,0,0
An01g01830,G_An01g01830,1,0
An01g01870,G_An01g01870,0,0
An01g01920,G_An01g01920,0,0
An01g01960,G_An01g01960,0,0
An01g02000,G_An01g02000,1,0
An01g02080,G_An01g02080,1,0
An01g02200,G_An01g02200,1,1
An01g02340,G_An01g02340,1,0
An01g02740,G_An01g02740,0,0
An01g02810,G_An01g02810,1,1
An01g02900,G_An01g02900,1,1
An01g03000,G_An01g03000,0,0
An01g03030,G_An01g03030,0,0
An01g03040,G_An01g03040,1,0
An01g03160,G_An01g03160,1,1
An01g03300,G_An01g03300,1,0
An01g03340,G_An01g03340,0,0
An01g03350,G_An01g03350,1,1
An01g03460,G_An01g03460,1,1
An01g03480,G_An01g03480,1,0
An01g03550,G_An01g03550,1,0
An01g03580,G_An01g03580,1,1
An01g03650,G_An01g03650,1,0
An01g03740,G_An01g03740,0,1
An01g03790,G_An01g03790,0,0
An01g04210,G_An01g04210,1,1
An01g04240,G_An01g04240,1,1
An01g04250,G_An01g04250,1,0
An01g04260,G_An01g04260,1,0
An01g04380,G_An01g04380,1,1
An01g04450,G_An01g04450,1,0
An01g04630,G_An01g04630,1,1
An01g04690,G_An01g04690,1,0
An01g04710,G_An01g04710,1,1
An01g04740,G_An01g04740,1,1
An01g04880,G_An01g04880,0,0
An01g04930,G_An01g04930,1,1
An01g05040,G_An01g05040,1,0
An01g05050,G_An01g05050,0,0
An01g05150,G_An01g05150,1,0
An01g05160,G_An01g05160,0,0
An01g05360,G_An01g05360,1,0
An01g05630,G_An01g05630,1,0
An01g05670,G_An01g05670,0,0
An01g05740,G_An01g05740,0,1
An01g05820,G_An01g05820,0,0
An01g06110,G_An01g06110,1,1
An01g06120,G_An01g06120,1,1
An01g06150,G_An01g06150,1,1
An01g06180,G_An01g06180,1,1
An01g06560,G_An01g06560,1,1
An01g06620,G_An01g06620,0,0
An01g06830,G_An01g06830,0,1
An01g06970,G_An01g06970,1,1
An01g07000,G_An01g07000,1,1
An01g07070,G_An01g07070,0,1
An01g07130,G_An01g07130,1,0
An01g07250,G_An01g07250,1,1
An01g07260,G_An01g07260,1,1
An01g07300,G_An01g07300,1,1
An01g07430,G_An01g07430,1,0
An01g07510,G_An01g07510,1,0
An01g07910,G_An01g07910,0,1
An01g08010,G_An01g08010,1,0
An01g08090,G_An01g08090,1,1
An01g08110,G_An01g08110,1,0
An01g08430,G_An01g08430,1,0
An01g08490,G_An01g08490,1,0
An01g08500,G_An01g08500,0,0
An01g08540,G_An01g08540,0,0
An01g08570,G_An01g08570,1,1
An01g08610,G_An01g08610,0,0
An01g08640,G_An01g08640,1,0
An01g08690,G_An01g08690,0,0
An01g08800,G_An01g08800,1,1
An01g08820,G_An01g08820,0,1
An01g08950,G_An01g08950,1,1
An01g08960,G_An01g08960,1,0
An01g09220,G_An01g09220,1,0
An01g09250,G_An01g09250,1,1
An01g09260,G_An01g09260,1,0
An01g09270,G_An01g09270,1,0
An01g09290,G_An01g09290,1,0
An01g09480,G_An01g09480,1,1
An01g09500,G_An01g09500,1,0
An01g09750,G_An01g09750,1,0
An01g09770,G_An01g09770,0,0
An01g09810,G_An01g09810,0,1
An01g09930,G_An01g09930,0,0
An01g09960,G_An01g09960,0,0
An01g10010,G_An01g10010,0,1
An01g10030,G_An01g10030,1,1
An01g10100,G_An01g10100,1,0
An01g10350,G_An01g10350,0,0
An01g10650,G_An01g10650,1,1
An01g10720,G_An01g10720,1,1
An01g10880,G_An01g10880,1,1
An01g10920,G_An01g10920,0,1
An01g11520,G_An01g11520,0,0
An01g11560,G_An01g11560,0,0
An01g11650,G_An01g11650,1,1
An01g11660,G_An01g11660,0,0
An01g11680,G_An01g11680,0,0
An01g11930,G_An01g11930,1,1
An01g11950,G_An01g11950,1,1
An01g12090,G_An01g12090,0,0
An01g12150,G_An01g12150,1,0
An01g12170,G_An01g12170,1,0
An01g12210,G_An01g12210,1,1
An01g12310,G_An01g12310,0,0
An01g12400,G_An01g12400,1,1
An01g12420,G_An01g12420,1,0
An01g12490,G_An01g12490,0,0
An01g12500,G_An01g12500,0,0
An01g12530,G_An01g12530,0,0
An01g12570,G_An01g12570,1,1
An01g12610,G_An01g12610,1,1
An01g12710,G_An01g12710,1,1
An01g12960,G_An01g12960,1,1
An01g13010,G_An01g13010,1,0
An01g13160,G_An01g13160,1,1
An01g13190,G_An01g13190,1,1
An01g13590,G_An01g13590,1,1
An01g13600,G_An01g13600,1,1
An01g13610,G_An01g13610,0,0
An01g13620,G_An01g13620,0,0
An01g13630,G_An01g13630,1,0
An01g13810,G_An01g13810,0,0
An01g13920,G_An01g13920,1,1
An01g13930,G_An01g13930,1,1
An01g14000,G_An01g14000,0,1
An01g14080,G_An01g14080,1,1
An01g14110,G_An01g14110,1,1
An01g14130,G_An01g14130,1,1
An01g14140,G_An01g14140,1,1
An01g14530,G_An01g14530,0,0
An01g14550,G_An01g14550,0,0
An01g14590,G_An01g14590,0,0
An01g14670,G_An01g14670,0,0
An01g14680,G_An01g14680,0,0
An01g14730,G_An01g14730,1,0
An01g14740,G_An01g14740,0,0
An01g14740,G_An01g14740,0,0
An01g14800,G_An01g14800,0,0
An01g14880,G_An01g14880,0,1
An01g14940,G_An01g14940,1,0
An01g14960,G_An01g14960,0,0
An01g14970,G_An01g14970,0,1
An01g15110,G_An01g15110,0,0
An02g00080,G_An02g00080,0,0
An02g00190,G_An02g00190,0,0
An02g00340,G_An02g00340,1,0
An02g00350,G_An02g00350,0,0
An02g00560,G_An02g00560,0,0
An02g00590,G_An02g00590,1,1
An02g00880,G_An02g00880,0,1
An02g00890,G_An02g00890,1,1
An02g01050,G_An02g01050,0,0
An02g01720,G_An02g01720,1,1
An02g01740,G_An02g01740,1,0
An02g01800,G_An02g01800,0,1
An02g01800,G_An02g01800,0,1
An02g01800,G_An02g01800,1,1
An02g01980,G_An02g01980,0,0
An02g02060,G_An02g02060,1,0
An02g02170,G_An02g02170,1,1
An02g02290,G_An02g02290,0,1
An02g02510,G_An02g02510,1,1
An02g02700,G_An02g02700,1,1
An02g02710,G_An02g02710,1,1
An02g02750,G_An02g02750,1,0
An02g02810,G_An02g02810,0,1
An02g02820,G_An02g02820,1,1
An02g02870,G_An02g02870,0,0
An02g02910,G_An02g02910,1,1
An02g02920,G_An02g02920,0,1
An02g02930,G_An02g02930,1,1
An02g02950,G_An02g02950,0,0
An02g03240,G_An02g03240,1,0
An02g03250,G_An02g03250,1,1
An02g03260,G_An02g03260,0,1
An02g03270,G_An02g03270,1,0
An02g03320,G_An02g03320,1,0
An02g03330,G_An02g03330,0,0
An02g03540,G_An02g03540,1,1
An02g03590,G_An02g03590,1,1
An02g03950,G_An02g03950,1,1
An02g04020,G_An02g04020,1,1
An02g04040,G_An02g04040,0,0
An02g04110,G_An02g04110,0,0
An02g04520,G_An02g04520,1,1
An02g04680,G_An02g04680,1,1
An02g04880,G_An02g04880,1,0
An02g04900,G_An02g04900,1,0
An02g05460,G_An02g05460,0,1
An02g05470,G_An02g05470,1,1
An02g05540,G_An02g05540,1,1
An02g05560,G_An02g05560,0,0
An02g05590,G_An02g05590,0,0
An02g05670,G_An02g05670,1,1
An02g05700,G_An02g05700,1,1
An02g05830,G_An02g05830,1,1
An02g05880,G_An02g05880,1,1
An02g06030,G_An02g06030,1,0
An02g06050,G_An02g06050,1,1
An02g06120,G_An02g06120,1,1
An02g06130,G_An02g06130,1,1
An02g06150,G_An02g06150,1,1
An02g06320,G_An02g06320,1,1
An02g06350,G_An02g06350,0,0
An02g06420,G_An02g06420,0,1
An02g06430,G_An02g06430,1,1
An02g06720,G_An02g06720,1,0
An02g06820,G_An02g06820,1,1
An02g06860,G_An02g06860,0,0
An02g07010,G_An02g07010,1,1
An02g07020,G_An02g07020,1,0
An02g07080,G_An02g07080,1,0
An02g07250,G_An02g07250,1,0
An02g07320,G_An02g07320,1,1
An02g07430,G_An02g07430,1,1
An02g07470,G_An02g07470,1,1
An02g07490,G_An02g07490,1,1
An02g07500,G_An02g07500,1,1
An02g07600,G_An02g07600,0,1
An02g07610,G_An02g07610,0,0
An02g07650,G_An02g07650,1,1
An02g07710,G_An02g07710,1,0
An02g07720,G_An02g07720,1,0
An02g08020,G_An02g08020,1,0
An02g08080,G_An02g08080,1,1
An02g08110,G_An02g08110,1,0
An02g08520,G_An02g08520,1,0
An02g08660,G_An02g08660,1,0
An02g08670,G_An02g08670,1,0
An02g08720,G_An02g08720,0,0
An02g09090,G_An02g09090,1,0
An02g09240,G_An02g09240,1,1
An02g09250,G_An02g09250,1,0
An02g09470,G_An02g09470,1,0
An02g09480,G_An02g09480,0,0
An02g09730,G_An02g09730,1,1
An02g09810,G_An02g09810,1,1
An02g09930,G_An02g09930,1,1
An02g09960,G_An02g09960,1,1
An02g10000,G_An02g10000,0,0
An02g10310,G_An02g10310,1,0
An02g10320,G_An02g10320,1,0
An02g10450,G_An02g10450,1,0
An02g10660,G_An02g10660,1,1
An02g10670,G_An02g10670,1,0
An02g10710,G_An02g10710,0,0
An02g10750,G_An02g10750,1,1
An02g11000,G_An02g11000,0,1
An02g11040,G_An02g11040,0,1
An02g11150,G_An02g11150,1,0
An02g11200,G_An02g11200,1,1
An02g11230,G_An02g11230,0,0
An02g11440,G_An02g11440,1,1
An02g11470,G_An02g11470,1,1
An02g11530,G_An02g11530,0,0
An02g11660,G_An02g11660,1,0
An02g11910,G_An02g11910,1,1
An02g11970,G_An02g11970,1,0
An02g12010,G_An02g12010,1,1
An02g12120,G_An02g12120,1,1
An02g12140,G_An02g12140,1,0
An02g12160,G_An02g12160,1,0
An02g12320,G_An02g12320,1,1
An02g12420,G_An02g12420,1,1
An02g12430,G_An02g12430,1,1
An02g12770,G_An02g12770,1,1
An02g12800,G_An02g12800,0,0
An02g13220,G_An02g13220,1,0
An02g13240,G_An02g13240,1,0
An02g13270,G_An02g13270,1,0
An02g13350,G_An02g13350,0,0
An02g13510,G_An02g13510,1,0
An02g13530,G_An02g13530,0,0
An02g13550,G_An02g13550,1,0
An02g13580,G_An02g13580,0,0
An02g13750,G_An02g13750,0,0
An02g13840,G_An02g13840,1,1
An02g13850,G_An02g13850,1,0
An02g14080,G_An02g14080,1,0
An02g14210,G_An02g14210,0,0
An02g14220,G_An02g14220,1,1
An02g14380,G_An02g14380,1,0
An02g14380,G_An02g14380,1,0
An02g14380,G_An02g14380,1,0
An02g14380,G_An02g14380,1,0
An02g14410,G_An02g14410,0,0
An02g14450,G_An02g14450,1,0
An02g14520,G_An02g14520,1,1
An02g14590,G_An02g14590,1,0
An02g14830,G_An02g14830,1,1
An02g14890,G_An02g14890,1,1
An03g00050,G_An03g00050,0,1
An03g00060,G_An03g00060,1,0
An03g00480,G_An03g00480,0,0
An03g00530,G_An03g00530,0,0
An03g00940,G_An03g00940,0,0
An03g00960,G_An03g00960,0,0
An03g00960,G_An03g00960,1,0
An03g01120,G_An03g01120,0,1
An03g01140,G_An03g01140,1,0
An03g01280,G_An03g01280,1,0
An03g01310,G_An03g01310,1,1
An03g01350,G_An03g01350,0,0
An03g01360,G_An03g01360,0,0
An03g01530,G_An03g01530,1,0
An03g01540,G_An03g01540,0,0
An03g01620,G_An03g01620,0,0
An03g01750,G_An03g01750,1,0
An03g02130,G_An03g02130,0,0
An03g02190,G_An03g02190,0,1
An03g02280,G_An03g02280,0,0
An03g02330,G_An03g02330,1,0
An03g02430,G_An03g02430,1,1
An03g02700,G_An03g02700,1,0
An03g02830,G_An03g02830,0,1
An03g02840,G_An03g02840,0,1
An03g02850,G_An03g02850,1,1
An03g02930,G_An03g02930,1,0
An03g02960,G_An03g02960,0,0
An03g03130,G_An03g03130,1,0
An03g03330,G_An03g03330,0,0
An03g03360,G_An03g03360,1,1
An03g03460,G_An03g03460,1,0
An03g03520,G_An03g03520,0,0
An03g03530,G_An03g03530,0,1
An03g03540,G_An03g03540,0,0
An03g03550,G_An03g03550,0,0
An03g03560,G_An03g03560,0,1
An03g03620,G_An03g03620,0,1
An03g03660,G_An03g03660,1,0
An03g03700,G_An03g03700,1,1
An03g03710,G_An03g03710,0,1
An03g03740,G_An03g03740,1,0
An03g03770,G_An03g03770,1,1
An03g04280,G_An03g04280,1,0
An03g04330,G_An03g04330,1,1
An03g04510,G_An03g04510,1,0
An03g04610,G_An03g04610,1,0
An03g04810,G_An03g04810,1,1
An03g04840,G_An03g04840,1,0
An03g05080,G_An03g05080,1,0
An03g05090,G_An03g05090,1,1
An03g05150,G_An03g05150,0,0
An03g05190,G_An03g05190,1,0
An03g05260,G_An03g05260,0,0
An03g05300,G_An03g05300,0,0
An03g05310,G_An03g05310,0,0
An03g05320,G_An03g05320,0,0
An03g05440,G_An03g05440,0,0
An03g05450,G_An03g05450,1,0
An03g05490,G_An03g05490,0,0
An03g05660,G_An03g05660,0,1
An03g05670,G_An03g05670,0,0
An03g05880,G_An03g05880,0,0
An03g05940,G_An03g05940,1,1
An03g06020,G_An03g06020,0,0
An03g06310,G_An03g06310,0,0
An03g06360,G_An03g06360,0,1
An03g06410,G_An03g06410,1,1
An03g06530,G_An03g06530,0,1
An03g06550,G_An03g06550,1,0
An03g06550,G_An03g06550,1,0
An03g06570,G_An03g06570,1,0
An03g06590,G_An03g06590,0,0
An03g06630,G_An03g06630,0,0
An03g06690,G_An03g06690,0,0
An03g06860,G_An03g06860,0,0
An03g06870,G_An03g06870,1,0
An03g06970,G_An03g06970,1,0
An04g00040,G_An04g00040,1,1
An04g00060,G_An04g00060,1,1
An04g00110,G_An04g00110,1,1
An04g00130,G_An04g00130,1,1
An04g00160,G_An04g00160,1,0
An04g00170,G_An04g00170,1,0
An04g00430,G_An04g00430,1,1
An04g00610,G_An04g00610,1,1
An04g00990,G_An04g00990,1,1
An04g01080,G_An04g01080,1,1
An04g01120,G_An04g01120,1,0
An04g01170,G_An04g01170,1,0
An04g01280,G_An04g01280,0,0
An04g01320,G_An04g01320,1,0
An04g01340,G_An04g01340,1,1
An04g01540,G_An04g01540,0,1
An04g01550,G_An04g01550,0,1
An04g01610,G_An04g01610,1,1
An04g01750,G_An04g01750,1,1
An04g01820,G_An04g01820,1,1
An04g02060,G_An04g02060,1,1
An04g02090,G_An04g02090,1,1
An04g02120,G_An04g02120,1,1
An04g02140,G_An04g02140,1,1
An04g02190,G_An04g02190,1,1
An04g02220,G_An04g02220,0,0
An04g02260,G_An04g02260,1,1
An04g02260,G_An04g02260,1,1
An04g02280,G_An04g02280,1,1
An04g02300,G_An04g02300,1,1
An04g02420,G_An04g02420,1,0
An04g02490,G_An04g02490,1,0
An04g02580,G_An04g02580,1,1
An04g02670,G_An04g02670,0,0
An04g02690,G_An04g02690,0,0
An04g02760,G_An04g02760,0,1
An04g02800,G_An04g02800,1,1
An04g02840,G_An04g02840,0,0
An04g03060,G_An04g03060,1,0
An04g03110,G_An04g03110,1,0
An04g03200,G_An04g03200,0,1
An04g03290,G_An04g03290,1,0
An04g03330,G_An04g03330,1,0
An04g03360,G_An04g03360,1,0
An04g03400,G_An04g03400,1,0
An04g03460,G_An04g03460,1,0
An04g03590,G_An04g03590,0,0
An04g03750,G_An04g03750,1,1
An04g03890,G_An04g03890,1,0
An04g03940,G_An04g03940,1,0
An04g03960,G_An04g03960,1,0
An04g04130,G_An04g04130,0,0
An04g04150,G_An04g04150,0,0
An04g04210,G_An04g04210,1,1
An04g04240,G_An04g04240,0,1
An04g04330,G_An04g04330,1,0
An04g04370,G_An04g04370,0,0
An04g04430,G_An04g04430,0,0
An04g04640,G_An04g04640,0,1
An04g04670,G_An04g04670,1,0
An04g04700,G_An04g04700,0,0
An04g04720,G_An04g04720,1,0
An04g04750,G_An04g04750,1,0
An04g04870,G_An04g04870,1,0
An04g04890,G_An04g04890,1,0
An04g04990,G_An04g04990,1,1
An04g05130,G_An04g05130,1,1
An04g05220,G_An04g05220,1,1
An04g05260,G_An04g05260,1,1
An04g05300,G_An04g05300,1,0
An04g05420,G_An04g05420,1,1
An04g05440,G_An04g05440,1,0
An04g05620,G_An04g05620,1,0
An04g05640,G_An04g05640,1,1
An04g05720,G_An04g05720,1,0
An04g05850,G_An04g05850,1,1
An04g05860,G_An04g05860,1,1
An04g06210,G_An04g06210,1,1
An04g06380,G_An04g06380,1,1
An04g06490,G_An04g06490,0,0
An04g06680,G_An04g06680,0,1
An04g06920,G_An04g06920,1,0
An04g06930,G_An04g06930,1,0
An04g06960,G_An04g06960,1,0
An04g07110,G_An04g07110,0,0
An04g07200,G_An04g07200,1,0
An04g07210,G_An04g07210,0,0
An04g07220,G_An04g07220,0,1
An04g07230,G_An04g07230,1,0
An04g07370,G_An04g07370,1,0
An04g08090,G_An04g08090,1,0
An04g08100,G_An04g08100,1,1
An04g08190,G_An04g08190,1,1
An04g08190,G_An04g08190,1,1
An04g08330,G_An04g08330,1,1
An04g08370,G_An04g08370,0,1
An04g08410,G_An04g08410,0,0
An04g08560,G_An04g08560,0,0
An04g08800,G_An04g08800,1,0
An04g08980,G_An04g08980,1,0
An04g09030,G_An04g09030,0,1
An04g09410,G_An04g09410,0,1
An04g09520,G_An04g09520,0,0
An04g09530,G_An04g09530,0,0
An04g09540,G_An04g09540,1,0
An04g09750,G_An04g09750,0,0
An04g09890,G_An04g09890,1,1
An04g10130,G_An04g10130,1,1
An04g10280,G_An04g10280,0,1
An05g00120,G_An05g00120,1,0
An05g00160,G_An05g00160,1,1
An05g00220,G_An05g00220,1,0
An05g00390,G_An05g00390,0,0
An05g00410,G_An05g00410,1,0
An05g00510,G_An05g00510,0,0
An05g00540,G_An05g00540,1,0
An05g00750,G_An05g00750,1,1
An05g00930,G_An05g00930,1,0
An05g01180,G_An05g01180,0,0
An05g01290,G_An05g01290,1,1
An05g01320,G_An05g01320,0,0
An05g01410,G_An05g01410,0,0
An05g02000,G_An05g02000,0,0
An05g02010,G_An05g02010,0,0
An05g02030,G_An05g02030,0,1
An05g02050,G_An05g02050,0,1
An05g02190,G_An05g02190,1,0
An05g02230,G_An05g02230,0,0
An05g02260,G_An05g02260,1,0
An05g02310,G_An05g02310,1,1
An05g02440,G_An05g02440,0,0
An06g00170,G_An06g00170,1,0
An06g00290,G_An06g00290,0,0
An06g00300,G_An06g00300,1,0
An06g00350,G_An06g00350,0,0
An06g00380,G_An06g00380,0,0
An06g00430,G_An06g00430,1,0
An06g00560,G_An06g00560,1,1
An06g00620,G_An06g00620,0,0
An06g01300,G_An06g01300,1,0
An06g01320,G_An06g01320,0,0
An06g01370,G_An06g01370,1,0
An06g01390,G_An06g01390,1,1
An06g01540,G_An06g01540,1,1
An06g01730,G_An06g01730,1,1
An06g01830,G_An06g01830,1,0
An06g01960,G_An06g01960,1,0
An06g01970,G_An06g01970,0,0
An06g02000,G_An06g02000,1,1
An06g02040,G_An06g02040,0,0
An06g02270,G_An06g02270,1,1
An06g02420,G_An06g02420,0,0
An06g02610,G_An06g02610,0,1
An07g00100,G_An07g00100,0,0
An07g00350,G_An07g00350,0,0
An07g00440,G_An07g00440,1,0
An07g00450,G_An07g00450,0,0
An07g00550,G_An07g00550,1,0
An07g00670,G_An07g00670,1,1
An07g00680,G_An07g00680,1,1
An07g00930,G_An07g00930,0,0
An07g01260,G_An07g01260,0,0
An07g01290,G_An07g01290,0,1
An07g01900,G_An07g01900,0,0
An07g01950,G_An07g01950,0,0
An07g01960,G_An07g01960,1,1
An07g02050,G_An07g02050,0,0
An07g02060,G_An07g02060,1,0
An07g02100,G_An07g02100,1,0
An07g02110,G_An07g02110,0,0
An07g02160,G_An07g02160,1,1
An07g02180,G_An07g02180,1,1
An07g02200,G_An07g02200,1,0
An07g02210,G_An07g02210,1,1
An07g02790,G_An07g02790,0,0
An07g02960,G_An07g02960,1,1
An07g03070,G_An07g03070,1,1
An07g03100,G_An07g03100,1,0
An07g03140,G_An07g03140,0,0
An07g03160,G_An07g03160,1,1
An07g03170,G_An07g03170,1,1
An07g03290,G_An07g03290,1,1
An07g03380,G_An07g03380,1,1
An07g03770,G_An07g03770,1,0
An07g03850,G_An07g03850,1,1
An07g03960,G_An07g03960,1,0
An07g04180,G_An07g04180,1,1
An07g04200,G_An07g04200,1,0
An07g04260,G_An07g04260,1,1
An07g04270,G_An07g04270,1,0
An07g04280,G_An07g04280,1,0
An07g04300,G_An07g04300,1,0
An07g04420,G_An07g04420,0,0
An07g04430,G_An07g04430,0,0
An07g04470,G_An07g04470,0,0
An07g04820,G_An07g04820,1,0
An07g05000,G_An07g05000,0,1
An07g05050,G_An07g05050,0,1
An07g05570,G_An07g05570,1,1
An07g05610,G_An07g05610,1,0
An07g05650,G_An07g05650,0,0
An07g05830,G_An07g05830,0,0
An07g06000,G_An07g06000,1,0
An07g06150,G_An07g06150,1,1
An07g06280,G_An07g06280,0,0
An07g06300,G_An07g06300,1,1
An07g06560,G_An07g06560,1,1
An07g06560,G_An07g06560,1,1
An07g06760,G_An07g06760,1,1
An07g06770,G_An07g06770,1,1
An07g06780,G_An07g06780,1,1
An07g06800,G_An07g06800,0,0
An07g06840,G_An07g06840,1,1
An07g06880,G_An07g06880,0,0
An07g07280,G_An07g07280,1,0
An07g07290,G_An07g07290,0,0
An07g07390,G_An07g07390,1,1
An07g07430,G_An07g07430,1,1
An07g07520,G_An07g07520,1,0
An07g07840,G_An07g07840,1,1
An07g08140,G_An07g08140,1,0
An07g08150,G_An07g08150,1,1
An07g08170,G_An07g08170,1,1
An07g08280,G_An07g08280,1,1
An07g08310,G_An07g08310,0,0
An07g08360,G_An07g08360,1,0
An07g08390,G_An07g08390,0,1
An07g08640,G_An07g08640,0,0
An07g08710,G_An07g08710,1,1
An07g08720,G_An07g08720,1,1
An07g08810,G_An07g08810,1,0
An07g08850,G_An07g08850,1,0
An07g08950,G_An07g08950,0,0
An07g08990,G_An07g08990,1,1
An07g08990,G_An07g08990,1,1
An07g08990,G_An07g08990,1,1
An07g08990,G_An07g08990,1,1
An07g09110,G_An07g09110,1,0
An07g09190,G_An07g09190,1,0
An07g09240,G_An07g09240,1,1
An07g09330,G_An07g09330,0,0
An07g09360,G_An07g09360,0,0
An07g09530,G_An07g09530,1,0
An07g09570,G_An07g09570,1,1
An07g09760,G_An07g09760,0,0
An07g09870,G_An07g09870,0,1
An07g09920,G_An07g09920,1,0
An07g10010,G_An07g10010,1,1
An07g10040,G_An07g10040,1,1
An07g10100,G_An07g10100,1,1
An08g00010,G_An08g00010,1,0
An08g00180,G_An08g00180,0,0
An08g00210,G_An08g00210,1,1
An08g00290,G_An08g00290,1,1
An08g00510,G_An08g00510,1,0
An08g00560,G_An08g00560,1,1
An08g00610,G_An08g00610,1,1
An08g00970,G_An08g00970,1,1
An08g01270,G_An08g01270,0,0
An08g01370,G_An08g01370,1,1
An08g01550,G_An08g01550,1,1
An08g01720,G_An08g01720,1,1
An08g01780,G_An08g01780,1,0
An08g01800,G_An08g01800,0,0
An08g01930,G_An08g01930,1,1
An08g01960,G_An08g01960,1,1
An08g02260,G_An08g02260,1,1
An08g02310,G_An08g02310,1,0
An08g02440,G_An08g02440,0,1
An08g02470,G_An08g02470,1,1
An08g02530,G_An08g02530,1,0
An08g02700,G_An08g02700,1,1
An08g02990,G_An08g02990,1,0
An08g03070,G_An08g03070,1,1
An08g03090,G_An08g03090,0,0
An08g03200,G_An08g03200,1,0
An08g03430,G_An08g03430,1,1
An08g03490,G_An08g03490,1,1
An08g03730,G_An08g03730,0,0
An08g03740,G_An08g03740,0,0
An08g03780,G_An08g03780,0,0
An08g03790,G_An08g03790,0,0
An08g03850,G_An08g03850,0,0
An08g03980,G_An08g03980,1,1
An08g04090,G_An08g04090,1,0
An08g04100,G_An08g04100,1,1
An08g04240,G_An08g04240,1,0
An08g04810,G_An08g04810,0,0
An08g04910,G_An08g04910,1,1
An08g04990,G_An08g04990,0,1
An08g05160,G_An08g05160,1,1
An08g05290,G_An08g05290,0,1
An08g05400,G_An08g05400,1,0
An08g05580,G_An08g05580,1,1
An08g05610,G_An08g05610,0,1
An08g05640,G_An08g05640,0,1
An08g05670,G_An08g05670,0,1
An08g05790,G_An08g05790,1,0
An08g06080,G_An08g06080,1,1
An08g06100,G_An08g06100,0,0
An08g06240,G_An08g06240,0,0
An08g06250,G_An08g06250,0,0
An08g06350,G_An08g06350,1,1
An08g06370,G_An08g06370,0,0
An08g06550,G_An08g06550,1,1
An08g06550,G_An08g06550,1,1
An08g06560,G_An08g06560,1,0
