GeneID,Symbol,Experimental_Essentiality,FBA_Essentiality
An08g06570,G_An08g06570,1,1
An08g06770,G_An08g06770,1,0
An08g06800,G_An08g06800,0,1
An08g06810,G_An08g06810,1,1
An08g06940,G_An08g06940,1,1
An08g06940,G_An08g06940,1,1
An08g06960,G_An08g06960,1,1
An08g07050,G_An08g07050,1,1
An08g07220,G_An08g07220,1,0
An08g07290,G_An08g07290,1,1
An08g07420,G_An08g07420,1,1
An08g07570,G_An08g07570,1,1
An08g07740,G_An08g07740,0,0
An08g07840,G_An08g07840,1,0
An08g07890,G_An08g07890,1,1
An08g08080,G_An08g08080,0,0
An08g08140,G_An08g08140,0,0
An08g08240,G_An08g08240,0,0
An08g08490,G_An08g08490,0,0
An08g08740,G_An08g08740,1,1
An08g08840,G_An08g08840,1,0
An08g08910,G_An08g08910,1,0
An08g08920,G_An08g08920,0,1
An08g08940,G_An08g08940,0,0
An08g08950,G_An08g08950,0,1
An08g09030,G_An08g09030,0,0
An08g09300,G_An08g09300,0,1
An08g09340,G_An08g09340,0,0
An08g09380,G_An08g09380,0,0
An08g09750,G_An08g09750,0,0
An08g09800,G_An08g09800,0,0
An08g09850,G_An08g09850,0,0
An08g10000,G_An08g10000,1,0
An08g10150,G_An08g10150,1,0
An08g10340,G_An08g10340,0,0
An08g10510,G_An08g10510,1,1
An08g10530,G_An08g10530,1,1
An08g10600,G_An08g10600,1,0
An08g10680,G_An08g10680,1,0
An08g10690,G_An08g10690,1,1
An08g10800,G_An08g10800,0,0
An08g10820,G_An08g10820,1,0
An08g10870,G_An08g10870,1,0
An08g10920,G_An08g10920,1,0
An08g10930,G_An08g10930,1,1
An08g11030,G_An08g11030,0,0
An08g11070,G_An08g11070,0,0
An08g12250,G_An08g12250,0,0
An09g00030,G_An09g00030,0,0
An09g00100,G_An09g00100,0,1
An09g00170,G_An09g00170,1,1
An09g00260,G_An09g00260,1,0
An09g00270,G_An09g00270,1,0
An09g00310,G_An09g00310,0,0
An09g00590,G_An09g00590,0,0
An09g00890,G_An09g00890,0,0
An09g01020,G_An09g01020,1,0
An09g01030,G_An09g01030,1,1
An09g01130,G_An09g01130,0,0
An09g01190,G_An09g01190,0,0
An09g01240,G_An09g01240,1,0
An09g01330,G_An09g01330,0,1
An09g01380,G_An09g01380,0,0
An09g01550,G_An09g01550,0,0
An09g01800,G_An09g01800,0,0
An09g01810,G_An09g01810,0,0
An09g01820,G_An09g01820,1,0
An09g01830,G_An09g01830,0,0
An09g01840,G_An09g01840,1,0
An09g01850,G_An09g01850,1,0
An09g01860,G_An09g01860,0,0
An09g01880,G_An09g01880,0,0
An09g01920,G_An09g01920,0,0
An09g01930,G_An09g01930,0,0
An09g01990,G_An09g01990,0,1
An09g02010,G_An09g02010,0,1
An09g02180,G_An09g02180,0,0
An09g02240,G_An09g02240,1,0
An09g02270,G_An09g02270,0,0
An09g02290,G_An09g02290,1,1
An09g02390,G_An09g02390,0,1
An09g02700,G_An09g02700,1,1
An09g02800,G_An09g02800,1,0
An09g02930,G_An09g02930,1,0
An09g03020,G_An09g03020,0,0
An09g03030,G_An09g03030,1,0
An09g03070,G_An09g03070,1,1
An09g03130,G_An09g03130,1,1
An09g03140,G_An09g03140,0,0
An09g03240,G_An09g03240,0,1
An09g03300,G_An09g03300,1,0
An09g03450,G_An09g03450,1,1
An09g03470,G_An09g03470,1,0
An09g03500,G_An09g03500,0,0
An09g03730,G_An09g03730,1,0
An09g03760,G_An09g03760,0,0
An09g03830,G_An09g03830,0,1
An09g03870,G_An09g03870,1,1
An09g03890,G_An09g03890,0,0
An09g03900,G_An09g03900,0,0
An09g03940,G_An09g03940,1,1
An09g03950,G_An09g03950,1,0
An09g04010,G_An09g04010,1,1
An09g04100,G_An09g04100,1,1
An09g04280,G_An09g04280,1,0
An09g04390,G_An09g04390,0,0
An09g04680,G_An09g04680,1,0
An09g04710,G_An09g04710,1,1
An09g04810,G_An09g04810,1,0
An09g04990,G_An09g04990,0,0
An09g05120,G_An09g05120,0,0
An09g05180,G_An09g05180,1,1
An09g05310,G_An09g05310,1,0
An09g05660,G_An09g05660,1,1
An09g05670,G_An09g05670,0,0
An09g05730,G_An09g05730,0,0
An09g05840,G_An09g05840,1,1
An09g05860,G_An09g05860,1,1
An09g05870,G_An09g05870,1,1
An09g05880,G_An09g05880,1,0
An09g05940,G_An09g05940,1,0
An09g05950,G_An09g05950,1,0
An09g05970,G_An09g05970,1,0
An09g06050,G_An09g06050,1,0
An09g06400,G_An09g06400,1,0
An09g06680,G_An09g06680,1,1
An09g06710,G_An09g06710,1,0
An09g06740,G_An09g06740,1,1
An09g06850,G_An09g06850,1,1
An10g00110,G_An10g00110,0,0
An10g00120,G_An10g00120,0,0
An10g00130,G_An10g00130,0,0
An10g00140,G_An10g00140,0,0
An10g00150,G_An10g00150,0,0
An10g00160,G_An10g00160,0,0
An10g00170,G_An10g00170,1,0
An10g00180,G_An10g00180,0,0
An10g00190,G_An10g00190,0,0
An10g00230,G_An10g00230,0,1
An10g00530,G_An10g00530,1,1
An10g00820,G_An10g00820,1,1
An10g00850,G_An10g00850,0,0
An10g00910,G_An10g00910,0,0
An10g00950,G_An10g00950,0,0
An11g00250,G_An11g00250,0,0
An11g00270,G_An11g00270,1,0
An11g00280,G_An11g00280,0,0
An11g00300,G_An11g00300,0,0
An11g00310,G_An11g00310,0,0
An11g00320,G_An11g00320,0,0
An11g00330,G_An11g00330,0,0
An11g00350,G_An11g00350,0,0
An11g00430,G_An11g00430,0,0
An11g00470,G_An11g00470,1,1
An11g00510,G_An11g00510,1,0
An11g00530,G_An11g00530,1,0
An11g00720,G_An11g00720,0,1
An11g00760,G_An11g00760,0,1
An11g00920,G_An11g00920,1,0
An11g00990,G_An11g00990,1,1
An11g01070,G_An11g01070,1,0
An11g01100,G_An11g01100,1,1
An11g01120,G_An11g01120,1,1
An11g01160,G_An11g01160,0,0
An11g01220,G_An11g01220,0,0
An11g01390,G_An11g01390,0,1
An11g01520,G_An11g01520,1,0
An11g01580,G_An11g01580,1,1
An11g01630,G_An11g01630,1,0
An11g01690,G_An11g01690,1,1
An11g01690,G_An11g01690,1,1
An11g01770,G_An11g01770,0,1
An11g02040,G_An11g02040,1,0
An11g02160,G_An11g02160,0,0
An11g02170,G_An11g02170,1,0
An11g02180,G_An11g02180,1,0
An11g02200,G_An11g02200,1,0
An11g02230,G_An11g02230,1,1
An11g02380,G_An11g02380,1,1
An11g02400,G_An11g02400,1,0
An11g02480,G_An11g02480,0,0
An11g02500,G_An11g02500,0,1
An11g02540,G_An11g02540,0,0
An11g02550,G_An11g02550,1,0
An11g02620,G_An11g02620,1,0
An11g02860,G_An11g02860,1,1
An11g02980,G_An11g02980,1,0
An11g03060,G_An11g03060,1,0
An11g03150,G_An11g03150,0,0
An11g03200,G_An11g03200,0,0
An11g03230,G_An11g03230,1,1
An11g03340,G_An11g03340,1,0
An11g03500,G_An11g03500,0,0
An11g03590,G_An11g03590,0,0
An11g04150,G_An11g04150,0,0
An11g04250,G_An11g04250,0,1
An11g04290,G_An11g04290,0,1
An11g04550,G_An11g04550,1,0
An11g04810,G_An11g04810,1,0
An11g04940,G_An11g04940,0,0
An11g05130,G_An11g05130,0,0
An11g05280,G_An11g05280,1,1
An11g05500,G_An11g05500,0,1
An11g05580,G_An11g05580,0,0
An11g06090,G_An11g06090,0,0
An11g06110,G_An11g06110,1,0
An11g06120,G_An11g06120,1,0
An11g06140,G_An11g06140,1,1
An11g06150,G_An11g06150,1,0
An11g06160,G_An11g06160,1,0
An11g06170,G_An11g06170,1,0
An11g06200,G_An11g06200,1,1
An11g06330,G_An11g06330,0,0
An11g06540,G_An11g06540,1,0
An11g06590,G_An11g06590,1,0
An11g06610,G_An11g06610,1,1
An11g06670,G_An11g06670,1,1
An11g06820,G_An11g06820,1,0
An11g06930,G_An11g06930,0,0
An11g07190,G_An11g07190,0,0
An11g07300,G_An11g07300,0,0
An11g07310,G_An11g07310,0,0
An11g07320,G_An11g07320,0,0
An11g07330,G_An11g07330,0,0
An11g07340,G_An11g07340,0,0
An11g07960,G_An11g07960,1,0
An11g08510,G_An11g08510,0,0
An11g08840,G_An11g08840,0,1
An11g08870,G_An11g08870,0,0
An11g08900,G_An11g08900,0,0
An11g09120,G_An11g09120,1,1
An11g09270,G_An11g09270,0,1
An11g09310,G_An11g09310,1,0
An11g09320,G_An11g09320,1,0
An11g09350,G_An11g09350,1,0
An11g09370,G_An11g09370,1,1
An11g09390,G_An11g09390,1,1
An11g09500,G_An11g09500,1,1
An11g09510,G_An11g09510,1,1
An11g09550,G_An11g09550,1,1
An11g09570,G_An11g09570,1,0
An11g09600,G_An11g09600,1,1
An11g09630,G_An11g09630,0,0
An11g09700,G_An11g09700,0,0
An11g09760,G_An11g09760,1,0
An11g09770,G_An11g09770,1,1
An11g09780,G_An11g09780,1,1
An11g09790,G_An11g09790,1,0
An11g09840,G_An11g09840,1,0
An11g09930,G_An11g09930,1,0
An11g09950,G_An11g09950,1,0
An11g10150,G_An11g10150,1,1
An11g10200,G_An11g10200,1,1
An11g10310,G_An11g10310,0,0
An11g10380,G_An11g10380,1,0
An11g10470,G_An11g10470,1,0
An11g10890,G_An11g10890,1,1
An11g10910,G_An11g10910,1,1
An11g10990,G_An11g10990,1,1
An11g11160,G_An11g11160,1,1
An11g11230,G_An11g11230,1,1
An11g11280,G_An11g11280,1,0
An11g11300,G_An11g11300,1,1
An11g11310,G_An11g11310,1,1
An12g00020,G_An12g00020,1,0
An12g00030,G_An12g00030,1,0
An12g00160,G_An12g00160,1,0
An12g00320,G_An12g00320,1,0
An12g00480,G_An12g00480,1,1
An12g00510,G_An12g00510,1,1
An12g00640,G_An12g00640,1,1
An12g00720,G_An12g00720,1,1
An12g00760,G_An12g00760,1,0
An12g00780,G_An12g00780,0,1
An12g00820,G_An12g00820,1,0
An12g00870,G_An12g00870,1,0
An12g00910,G_An12g00910,1,1
An12g00950,G_An12g00950,1,0
An12g01020,G_An12g01020,1,0
An12g01120,G_An12g01120,0,0
An12g01260,G_An12g01260,1,0
An12g01280,G_An12g01280,1,1
An12g01320,G_An12g01320,0,0
An12g01350,G_An12g01350,1,1
An12g01480,G_An12g01480,1,0
An12g01570,G_An12g01570,0,0
An12g01980,G_An12g01980,0,1
An12g01990,G_An12g01990,0,1
An12g02240,G_An12g02240,0,0
An12g02320,G_An12g02320,0,1
An12g02430,G_An12g02430,1,0
An12g02450,G_An12g02450,0,1
An12g02850,G_An12g02850,1,1
An12g02890,G_An12g02890,1,1
An12g02920,G_An12g02920,0,0
An12g03230,G_An12g03230,0,1
An12g03260,G_An12g03260,0,0
An12g03290,G_An12g03290,0,0
An12g03440,G_An12g03440,0,0
An12g03570,G_An12g03570,1,1
An12g03600,G_An12g03600,1,1
An12g03900,G_An12g03900,1,1
An12g03940,G_An12g03940,1,0
An12g03950,G_An12g03950,0,1
An12g04020,G_An12g04020,1,1
An12g04180,G_An12g04180,0,0
An12g04480,G_An12g04480,0,0
An12g04500,G_An12g04500,1,0
An12g04510,G_An12g04510,0,0
An12g04660,G_An12g04660,1,0
An12g04710,G_An12g04710,1,0
An12g04780,G_An12g04780,1,1
An12g04800,G_An12g04800,1,0
An12g04860,G_An12g04860,1,1
An12g04870,G_An12g04870,1,1
An12g04950,G_An12g04950,1,1
An12g05010,G_An12g05010,0,0
An12g05100,G_An12g05100,1,1
An12g05330,G_An12g05330,0,0
An12g05710,G_An12g05710,0,0
An12g05820,G_An12g05820,0,1
An12g05820,G_An12g05820,1,1
An12g06290,G_An12g06290,1,0
An12g06530,G_An12g06530,0,0
An12g06560,G_An12g06560,1,0
An12g06690,G_An12g06690,0,0
An12g07450,G_An12g07450,1,1
An12g07510,G_An12g07510,1,1
An12g07520,G_An12g07520,1,1
An12g07580,G_An12g07580,1,1
An12g07630,G_An12g07630,1,0
An12g07660,G_An12g07660,0,1
An12g07730,G_An12g07730,0,0
An12g07740,G_An12g07740,0,1
An12g07840,G_An12g07840,1,1
An12g07850,G_An12g07850,1,1
An12g07870,G_An12g07870,1,1
An12g07900,G_An12g07900,1,1
An12g08020,G_An12g08020,1,1
An12g08270,G_An12g08270,1,0
An12g08280,G_An12g08280,0,0
An12g08610,G_An12g08610,1,1
An12g08760,G_An12g08760,1,0
An12g08950,G_An12g08950,0,0
An12g09610,G_An12g09610,0,0
An12g09660,G_An12g09660,0,0
An12g09670,G_An12g09670,0,0
An12g09810,G_An12g09810,0,0
An12g09880,G_An12g09880,0,1
An12g09940,G_An12g09940,0,1
An12g09950,G_An12g09950,0,0
An12g10090,G_An12g10090,0,1
An12g10140,G_An12g10140,0,0
An12g10320,G_An12g10320,1,0
An12g10380,G_An12g10380,1,1
An12g10390,G_An12g10390,0,0
An12g10630,G_An12g10630,0,0
An12g10720,G_An12g10720,0,1
An13g00040,G_An13g00040,1,1
An13g00280,G_An13g00280,1,1
An13g00400,G_An13g00400,1,1
An13g00440,G_An13g00440,1,1
An13g00480,G_An13g00480,0,0
An13g00590,G_An13g00590,0,0
An13g00920,G_An13g00920,0,0
An13g00930,G_An13g00930,0,0
An13g00940,G_An13g00940,1,0
An13g00950,G_An13g00950,1,0
An13g01080,G_An13g01080,1,1
An13g01130,G_An13g01130,0,1
An13g01840,G_An13g01840,0,0
An13g01920,G_An13g01920,1,1
An13g01940,G_An13g01940,0,0
An13g02000,G_An13g02000,0,0
An13g02020,G_An13g02020,0,0
An13g02310,G_An13g02310,0,1
An13g02390,G_An13g02390,0,0
An13g02480,G_An13g02480,1,0
An13g02640,G_An13g02640,0,0
An13g03150,G_An13g03150,1,1
An13g03320,G_An13g03320,0,0
An13g03330,G_An13g03330,0,0
An13g03710,G_An13g03710,0,0
An13g03810,G_An13g03810,0,0
An13g03940,G_An13g03940,1,0
An13g04000,G_An13g04000,0,1
An14g00060,G_An14g00060,1,1
An14g00160,G_An14g00160,1,0
An14g00280,G_An14g00280,1,0
An14g00310,G_An14g00310,1,1
An14g00430,G_An14g00430,1,0
An14g00570,G_An14g00570,1,1
An14g00660,G_An14g00660,1,1
An14g00670,G_An14g00670,0,0
An14g00690,G_An14g00690,1,1
An14g00840,G_An14g00840,0,1
An14g00860,G_An14g00860,0,0
An14g00930,G_An14g00930,1,0
An14g00960,G_An14g00960,0,1
An14g00990,G_An14g00990,1,0
An14g01000,G_An14g01000,0,0
An14g01010,G_An14g01010,1,1
An14g01140,G_An14g01140,0,0
An14g01150,G_An14g01150,1,1
An14g01190,G_An14g01190,0,0
An14g01270,G_An14g01270,1,1
An14g01460,G_An14g01460,0,0
An14g01550,G_An14g01550,0,0
An14g01590,G_An14g01590,1,1
An14g01700,G_An14g01700,0,1
An14g01760,G_An14g01760,1,1
An14g01800,G_An14g01800,0,0
An14g01850,G_An14g01850,1,0
An14g01860,G_An14g01860,0,1
An14g01880,G_An14g01880,1,1
An14g02080,G_An14g02080,0,0
An14g02180,G_An14g02180,1,1
An14g02250,G_An14g02250,1,0
An14g02650,G_An14g02650,1,0
An14g02740,G_An14g02740,0,0
An14g02760,G_An14g02760,1,0
An14g02880,G_An14g02880,0,0
An14g03280,G_An14g03280,1,1
An14g03370,G_An14g03370,1,0
An14g03400,G_An14g03400,1,1
An14g03500,G_An14g03500,0,1
An14g03510,G_An14g03510,0,0
An14g03820,G_An14g03820,1,1
An14g03990,G_An14g03990,1,0
An14g04010,G_An14g04010,1,1
An14g04080,G_An14g04080,1,1
An14g04170,G_An14g04170,1,1
An14g04180,G_An14g04180,1,1
An14g04190,G_An14g04190,1,1
An14g04200,G_An14g04200,0,0
An14g04280,G_An14g04280,1,1
An14g04300,G_An14g04300,1,0
An14g04400,G_An14g04400,1,1
An14g04920,G_An14g04920,1,1
An14g05260,G_An14g05260,1,0
An14g05350,G_An14g05350,0,0
An14g05630,G_An14g05630,1,0
An14g05780,G_An14g05780,0,1
An14g05820,G_An14g05820,0,0
An14g06010,G_An14g06010,1,1
An14g06200,G_An14g06200,1,1
An14g06290,G_An14g06290,1,1
An14g06340,G_An14g06340,1,1
An14g06350,G_An14g06350,1,1
An14g06430,G_An14g06430,1,1
An14g06500,G_An14g06500,1,0
An14g06560,G_An14g06560,0,0
An14g06740,G_An14g06740,0,1
An14g06860,G_An14g06860,1,1
An14g06870,G_An14g06870,1,1
An14g06980,G_An14g06980,0,1
An14g07180,G_An14g07180,0,0
An14g07200,G_An14g07200,1,0
An14g07210,G_An14g07210,0,1
An14g07420,G_An14g07420,0,0
An15g00070,G_An15g00070,1,0
An15g00080,G_An15g00080,1,1
An15g00110,G_An15g00110,1,0
An15g00150,G_An15g00150,1,1
An15g00170,G_An15g00170,1,0
An15g00200,G_An15g00200,1,0
An15g00210,G_An15g00210,1,0
An15g00290,G_An15g00290,0,0
An15g00320,G_An15g00320,1,0
An15g00350,G_An15g00350,1,1
An15g00410,G_An15g00410,1,0
An15g00420,G_An15g00420,0,0
An15g00570,G_An15g00570,1,1
An15g00610,G_An15g00610,1,1
An15g00630,G_An15g00630,0,1
An15g00700,G_An15g00700,1,1
An15g00840,G_An15g00840,0,0
An15g00940,G_An15g00940,1,0
An15g01020,G_An15g01020,1,1
An15g01500,G_An15g01500,0,1
An15g01690,G_An15g01690,1,1
An15g01710,G_An15g01710,1,1
An15g01740,G_An15g01740,1,0
An15g01760,G_An15g01760,1,1
An15g01780,G_An15g01780,1,1
An15g01850,G_An15g01850,0,0
An15g01860,G_An15g01860,1,0
An15g01890,G_An15g01890,1,0
An15g01920,G_An15g01920,1,1
An15g01950,G_An15g01950,0,0
An15g01980,G_An15g01980,1,0
An15g01990,G_An15g01990,1,0
An15g02000,G_An15g02000,1,0
An15g02200,G_An15g02200,1,0
An15g02300,G_An15g02300,0,0
An15g02340,G_An15g02340,1,1
An15g02360,G_An15g02360,1,1
An15g02490,G_An15g02490,1,1
An15g02690,G_An15g02690,1,1
An15g02820,G_An15g02820,0,0
An15g02990,G_An15g02990,0,0
An15g03090,G_An15g03090,1,1
An15g03200,G_An15g03200,0,0
An15g03260,G_An15g03260,1,1
An15g03770,G_An15g03770,1,1
An15g03820,G_An15g03820,0,0
An15g03940,G_An15g03940,1,1
An15g03950,G_An15g03950,0,0
An15g03980,G_An15g03980,0,0
An15g04060,G_An15g04060,0,0
An15g04600,G_An15g04600,0,1
An15g04610,G_An15g04610,0,0
An15g04770,G_An15g04770,0,0
An15g05170,G_An15g05170,1,1
An15g05370,G_An15g05370,0,0
An15g05450,G_An15g05450,1,0
An15g05720,G_An15g05720,1,0
An15g05770,G_An15g05770,1,1
An15g05780,G_An15g05780,0,1
An15g05790,G_An15g05790,1,0
An15g05880,G_An15g05880,1,0
An15g05890,G_An15g05890,1,0
An15g06310,G_An15g06310,1,1
An15g06360,G_An15g06360,1,0
An15g06580,G_An15g06580,1,0
An15g06680,G_An15g06680,0,0
An15g06700,G_An15g06700,1,1
An15g06730,G_An15g06730,0,0
An15g06740,G_An15g06740,1,0
An15g06760,G_An15g06760,1,1
An15g07070,G_An15g07070,1,0
An15g07110,G_An15g07110,0,0
An15g07120,G_An15g07120,1,0
An15g07150,G_An15g07150,1,1
An15g07190,G_An15g07190,0,0
An15g07390,G_An15g07390,1,1
An15g07500,G_An15g07500,1,0
An15g07810,G_An15g07810,0,1
An15g07920,G_An15g07920,0,0
An16g00010,G_An16g00010,0,0
An16g00180,G_An16g00180,0,1
An16g00400,G_An16g00400,0,0
An16g00550,G_An16g00550,0,0
An16g01030,G_An16g01030,1,0
An16g01310,G_An16g01310,0,1
An16g01650,G_An16g01650,1,1
An16g01670,G_An16g01670,0,1
An16g01700,G_An16g01700,0,0
An16g01710,G_An16g01710,0,1
An16g01720,G_An16g01720,0,1
An16g01730,G_An16g01730,1,0
An16g01830,G_An16g01830,1,1
An16g01830,G_An16g01830,1,1
An16g01830,G_An16g01830,1,1
An16g01880,G_An16g01880,0,0
An16g02000,G_An16g02000,1,0
An16g02500,G_An16g02500,1,1
An16g02520,G_An16g02520,1,0
An16g02750,G_An16g02750,1,0
An16g02890,G_An16g02890,0,0
An16g02930,G_An16g02930,1,1
An16g02970,G_An16g02970,1,1
An16g02990,G_An16g02990,1,1
An16g03060,G_An16g03060,0,1
An16g03130,G_An16g03130,0,0
An16g03800,G_An16g03800,0,0
An16g03880,G_An16g03880,1,0
An16g03910,G_An16g03910,1,0
An16g04160,G_An16g04160,1,1
An16g04170,G_An16g04170,1,1
An16g04630,G_An16g04630,0,0
An16g04690,G_An16g04690,1,1
An16g04720,G_An16g04720,1,0
An16g04760,G_An16g04760,0,0
An16g04770,G_An16g04770,1,0
An16g04830,G_An16g04830,1,0
An16g04910,G_An16g04910,1,0
An16g04930,G_An16g04930,1,1
An16g04940,G_An16g04940,1,1
An16g04960,G_An16g04960,1,1
An16g04970,G_An16g04970,1,1
An16g05340,G_An16g05340,1,1
An16g05350,G_An16g05350,0,0
An16g05390,G_An16g05390,0,1
An16g05420,G_An16g05420,1,1
An16g05570,G_An16g05570,1,1
An16g05760,G_An16g05760,0,1
An16g06010,G_An16g06010,0,1
An16g06210,G_An16g06210,0,0
An16g06240,G_An16g06240,1,0
An16g06350,G_An16g06350,1,1
An16g06470,G_An16g06470,0,1
An16g06620,G_An16g06620,0,1
An16g06720,G_An16g06720,1,0
An16g06800,G_An16g06800,1,0
An16g06990,G_An16g06990,0,0
An16g06990,G_An16g06990,0,0
An16g07090,G_An16g07090,0,1
An16g07110,G_An16g07110,1,1
An16g07150,G_An16g07150,1,1
An16g07150,G_An16g07150,1,1
An16g07290,G_An16g07290,1,1
An16g07400,G_An16g07400,1,1
An16g07410,G_An16g07410,1,1
An16g07430,G_An16g07430,1,1
An16g07500,G_An16g07500,0,0
An16g07520,G_An16g07520,0,1
An16g07700,G_An16g07700,1,0
An16g08020,G_An16g08020,1,0
An16g08100,G_An16g08100,1,0
An16g08210,G_An16g08210,0,0
An16g08720,G_An16g08720,1,0
An16g08870,G_An16g08870,0,0
An16g09070,G_An16g09070,0,0
An16g09190,G_An16g09190,1,1
An16g09320,G_An16g09320,1,0
An17g00010,G_An17g00010,0,0
An17g00200,G_An17g00200,0,0
An17g00210,G_An17g00210,1,1
An17g00520,G_An17g00520,0,0
An17g00630,G_An17g00630,1,1
An17g00820,G_An17g00820,1,1
An17g00830,G_An17g00830,0,0
An17g00910,G_An17g00910,1,0
An17g01120,G_An17g01120,0,1
An17g01150,G_An17g01150,1,0
An17g01170,G_An17g01170,1,0
An17g01330,G_An17g01330,1,1
An17g01360,G_An17g01360,1,0
An17g01480,G_An17g01480,0,0
An17g01530,G_An17g01530,1,0
An17g01540,G_An17g01540,0,0
An17g01640,G_An17g01640,1,1
An17g01670,G_An17g01670,1,1
An17g02020,G_An17g02020,0,1
An17g02090,G_An17g02090,1,0
An17g02120,G_An17g02120,1,1
An17g02140,G_An17g02140,1,0
An17g02200,G_An17g02200,1,1
An17g02240,G_An17g02240,1,1
An17g02280,G_An17g02280,1,1
An17g02310,G_An17g02310,1,0
An17g02330,G_An17g02330,1,1
An17g02340,G_An17g02340,1,0
An17g02370,G_An17g02370,1,0
An18g00010,G_An18g00010,0,1
An18g00070,G_An18g00070,0,1
An18g00290,G_An18g00290,0,1
An18g00400,G_An18g00400,0,1
An18g01020,G_An18g01020,0,0
An18g01090,G_An18g01090,0,0
An18g01140,G_An18g01140,0,0
An18g01590,G_An18g01590,1,1
An18g01670,G_An18g01670,1,1
An18g01700,G_An18g01700,0,1
An18g01740,G_An18g01740,0,0
An18g01960,G_An18g01960,0,1
An18g01970,G_An18g01970,1,0
An18g02550,G_An18g02550,1,1
An18g02970,G_An18g02970,1,0
An18g03190,G_An18g03190,0,0
An18g03300,G_An18g03300,1,0
An18g03310,G_An18g03310,1,1
An18g03550,G_An18g03550,0,0
An18g03570,G_An18g03570,1,0
An18g03800,G_An18g03800,1,0
An18g03810,G_An18g03810,1,0
An18g03810,G_An18g03810,1,0
An18g03820,G_An18g03820,1,1
An18g04040,G_An18g04040,1,0
An18g04080,G_An18g04080,0,0
An18g04130,G_An18g04130,0,0
An18g04140,G_An18g04140,0,0
An18g04180,G_An18g04180,1,1
An18g04190,G_An18g04190,0,0
An18g04220,G_An18g04220,1,0
An18g04330,G_An18g04330,1,1
An18g04340,G_An18g04340,1,0
An18g04410,G_An18g04410,1,0
An18g04560,G_An18g04560,0,0
An18g04660,G_An18g04660,1,1
An18g05020,G_An18g05020,1,1
An18g05130,G_An18g05130,1,0
An18g05160,G_An18g05160,1,1
An18g05170,G_An18g05170,1,1
An18g05480,G_An18g05480,0,0
An18g05500,G_An18g05500,1,0
An18g05570,G_An18g05570,0,1
An18g05810,G_An18g05810,1,1
An18g05860,G_An18g05860,1,1
An18g05860,G_An18g05860,1,1
An18g06250,G_An18g06250,1,1
An18g06500,G_An18g06500,1,1
An18g06760,G_An18g06760,1,1
An18g06810,G_An18g06810,1,0
An18g06820,G_An18g06820,1,1
An19g00100,G_An19g00100,0,0
An19g00350,G_An19g00350,1,0
